PATH,LOCATION,TYPE,CLASSIFICATION,FUNCTIONAL STATUS,RELATION TO CANONICAL,VERSION / HEAD,HASH,UNIQUE FUNCTIONALITY,EVIDENCE,RISK,RECOMMENDATION
/Users/lordjef/Desktop/ABRAXAS_V3_1_EXECUTABLE_AUTOMATION,Desktop,symlink,COMPATIBILITY_POINTER,CURRENT VERIFIED,Points directly to canonical path: /Users/lordjef/Desktop/abraxasos/ABRAXAS_CORE/legacy_functional/ABRAXAS_V3_1_EXECUTABLE_AUTOMATION,Symlink,N/A,NO,Symlink target /Users/lordjef/Desktop/abraxasos/ABRAXAS_CORE/legacy_functional/ABRAXAS_V3_1_EXECUTABLE_AUTOMATION,LOW,KEEP_COMPATIBILITY
/Users/lordjef/Desktop/ABRAXAS_V4_1_FULL_MOTION_TXT_HOTFIX,Desktop,directory,MIGRATION_CANDIDATE,CURRENT UNVERIFIED,External project directory containing source implementations,Directory Candidate,N/A,POSSIBLE,"Directory contains 3 files, executable source code found (tests=False)",MEDIUM,COMPARE_BEFORE_MIGRATE
/Users/lordjef/Desktop/ABRAXAS_V4_1_MOTION_AUTOMATION,Desktop,symlink,COMPATIBILITY_POINTER,CURRENT VERIFIED,Points directly to canonical path: /Users/lordjef/Desktop/abraxasos/ABRAXAS_CORE/motion_intelligence/ABRAXAS_V4_1_MOTION_AUTOMATION,Symlink,N/A,NO,Symlink target /Users/lordjef/Desktop/abraxasos/ABRAXAS_CORE/motion_intelligence/ABRAXAS_V4_1_MOTION_AUTOMATION,LOW,KEEP_COMPATIBILITY
/Users/lordjef/Desktop/ABRAXAS_V4_2_MOTIONS_BESIDE_VIDEOS_HOTFIX,Desktop,directory,MIGRATION_CANDIDATE,CURRENT UNVERIFIED,External project directory containing source implementations,Directory Candidate,N/A,POSSIBLE,"Directory contains 5 files, executable source code found (tests=False)",MEDIUM,COMPARE_BEFORE_MIGRATE
/Users/lordjef/Desktop/ASTRIS_VS_DOWNLOADS_DUPLICATES.txt,Desktop,file (.txt),REFERENCE_ONLY,HISTORICAL,Reference document / prompt specification / HTML dashboard,Reference File,5d156cd98bbe632c2614c9412c429e176eafef104c4fee67f0a841342d647204,NO,Document file (.txt),LOW,KEEP_REFERENCE
/Users/lordjef/Desktop/Captura de pantalla 2026-05-12 a la(s) 10.50.13 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-12 a la(s) 10.51.09 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-12 a la(s) 7.29.03 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-14 a la(s) 7.38.10 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-16 a la(s) 3.17.01 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-18 a la(s) 8.18.58 a.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-19 a la(s) 1.21.54 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-19 a la(s) 5.03.39 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-19 a la(s) 5.03.42 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-19 a la(s) 5.03.46 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-19 a la(s) 5.04.11 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-19 a la(s) 5.04.17 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-19 a la(s) 5.04.24 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-20 a la(s) 11.39.03 a.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-21 a la(s) 11.01.28 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-21 a la(s) 2.53.42 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-21 a la(s) 2.53.53 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-21 a la(s) 5.48.29 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-21 a la(s) 5.48.43 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-22 a la(s) 12.26.33 a.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-22 a la(s) 2.22.42 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-23 a la(s) 3.55.29 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-23 a la(s) 3.55.33 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-23 a la(s) 3.55.39 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-23 a la(s) 3.55.45 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-23 a la(s) 3.57.32 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-23 a la(s) 3.57.36 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-23 a la(s) 3.57.46 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-23 a la(s) 3.57.48 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-23 a la(s) 3.57.50 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-23 a la(s) 3.57.53 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-23 a la(s) 4.10.01 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-23 a la(s) 4.10.04 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-23 a la(s) 4.10.07 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-23 a la(s) 4.10.18 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-23 a la(s) 4.10.21 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-23 a la(s) 4.10.25 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-23 a la(s) 4.23.46 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-27 a la(s) 3.47.35 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-28 a la(s) 2.44.32 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-28 a la(s) 2.45.16 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-28 a la(s) 2.45.38 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-05-28 a la(s) 8.08.33 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-03 a la(s) 11.25.27 a.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-05 a la(s) 3.26.00 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-05 a la(s) 3.26.06 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-05 a la(s) 3.26.18 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-05 a la(s) 3.26.20 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-05 a la(s) 3.26.26 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-05 a la(s) 3.26.40 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-05 a la(s) 3.26.42 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-05 a la(s) 3.26.43 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-05 a la(s) 3.26.45 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-05 a la(s) 3.27.12 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-05 a la(s) 3.27.16 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-05 a la(s) 3.27.20 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-05 a la(s) 3.27.25 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-05 a la(s) 3.27.28 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-05 a la(s) 3.27.32 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-05 a la(s) 3.27.41 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-05 a la(s) 3.27.47 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-05 a la(s) 3.28.02 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-05 a la(s) 3.28.14 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-05 a la(s) 3.28.20 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-05 a la(s) 3.28.43 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-05 a la(s) 3.28.55 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-05 a la(s) 3.29.06 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-11 a la(s) 2.39.36 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-11 a la(s) 2.39.48 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-17 a la(s) 9.21.33 a.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-17 a la(s) 9.28.34 a.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-18 a la(s) 7.55.47 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-18 a la(s) 7.56.06 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-18 a la(s) 7.56.23 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-18 a la(s) 7.58.39 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-18 a la(s) 8.29.23 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-18 a la(s) 9.16.25 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-19 a la(s) 10.18.36 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-19 a la(s) 2.04.38 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-20 a la(s) 11.15.55 a.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-20 a la(s) 11.16.35 a.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-21 a la(s) 3.48.15 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-21 a la(s) 5.28.27 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-22 a la(s) 3.56.08 p.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-23 a la(s) 10.03.53 a.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/Captura de pantalla 2026-06-23 a la(s) 10.04.16 a.m..png,Desktop,file (.png),UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
